image_idx,mean_iou,class_0_iou,class_0_gt_pixels,class_0_pred_pixels,class_1_iou,class_1_gt_pixels,class_1_pred_pixels,class_2_iou,class_2_gt_pixels,class_2_pred_pixels,class_3_iou,class_3_gt_pixels,class_3_pred_pixels,class_4_iou,class_4_gt_pixels,class_4_pred_pixels,class_5_iou,class_5_gt_pixels,class_5_pred_pixels,class_6_iou,class_6_gt_pixels,class_6_pred_pixels,class_7_iou,class_7_gt_pixels,class_7_pred_pixels,class_8_iou,class_8_gt_pixels,class_8_pred_pixels,class_9_iou,class_9_gt_pixels,class_9_pred_pixels,class_10_iou,class_10_gt_pixels,class_10_pred_pixels,class_11_iou,class_11_gt_pixels,class_11_pred_pixels,class_12_iou,class_12_gt_pixels,class_12_pred_pixels,class_13_iou,class_13_gt_pixels,class_13_pred_pixels,class_14_iou,class_14_gt_pixels,class_14_pred_pixels,class_15_iou,class_15_gt_pixels,class_15_pred_pixels,class_16_iou,class_16_gt_pixels,class_16_pred_pixels,class_17_iou,class_17_gt_pixels,class_17_pred_pixels,class_18_iou,class_18_gt_pixels,class_18_pred_pixels
46,0.2754795200118779,0.9767174628338569,737499,939597,0.26379896351367954,217855,60013,0.9121497462056362,748891,823562,0.0,0,12323,0.0,0,165130,0.14683188386843654,56274,14595,0.0,300,0,0.004838709677419355,316,1116,0.774340845485344,23577,25544,nan,0,0,0.9615303374346518,37751,38101,0.0,1238,0,0.0,277,0,0.6429438911829002,13466,13611,nan,0,0,0.0,0,88,0.0,0,3472,0.0,566,0,0.0,10700,0
47,0.38195558013479775,0.9786599705571979,902739,1107550,0.2592984934086629,15163,6513,0.8163265868553917,332742,350900,nan,0,0,0.0,811,11464,0.2056464054304227,14727,9088,0.11392729134664618,3754,635,0.49015298791310963,13416,25018,0.8906843475503176,390253,399994,0.0,0,8159,0.9163651868313608,76972,79184,0.0,942,0,0.0,843,0,0.7851879527575399,77765,97732,nan,0,0,nan,0,0,nan,0,0,0.0,906,0,0.2730844793713163,1254,915
48,0.6195220550887562,0.9746619394257561,797188,1008823,0.6852133741614599,105451,87261,0.9098157874054762,547788,632440,nan,0,695,0.0,0,12928,0.37315912133683743,33900,33015,0.37355371900826445,6053,7003,0.5245570866141732,17206,15247,0.9246356084553541,143059,149502,nan,0,0,0.7727080989876266,14186,12207,0.48259958071278825,15570,9498,0.7054284115342699,25373,33140,0.7485,39143,34294,nan,0,0,nan,0,0,nan,0,0,0.5271994223131544,30031,20727,0.6712766212874258,30605,40372
49,0.6073199356528214,0.9195630991710735,764856,930071,0.6067008440785044,128365,151791,0.9185742362288105,335927,341527,0.6819830713422007,27044,27510,0.7964810110897714,42258,44949,0.596897963610727,27018,32809,0.2462828821959588,2426,843,0.7726037817865682,16065,20734,0.910509277536518,364583,384711,nan,0,0,0.8872827865658848,25444,25530,0.6124056919109923,13483,20800,0.0,785,0,0.8592084191260582,100119,104364,nan,0,0,nan,0,0,nan,0,0,0.30130597014925375,11964,6171,0.0,0,5342
50,0.4685764019831694,0.9320876062250909,827591,1037088,0.3265047960539488,90266,55953,0.8245134425973069,464419,545823,0.0,9426,0,0.04046730945175593,2706,12078,0.5147058823529411,49702,52601,0.3652749557580127,13739,7926,0.5298614193421117,18198,12823,0.7443473563705225,301177,276751,0.0,0,11436,nan,0,0,0.4282362754809447,15904,11627,0.5415568862275449,10319,15425,0.7460384130741915,25305,20422,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.5664752848299991,32666,37199
51,0.34911752917652994,0.9472317245751913,940076,1133622,0.3375121411307628,66056,52467,0.9026175017354731,348316,379955,0.0,0,25228,0.0,0,41465,0.4543780588263798,27524,36401,0.16839313831109637,9970,5114,0.6349732620320856,16965,14656,0.7455227774180774,142726,141102,0.0,0,461,0.0,0,41804,0.11800818553888132,2896,395,0.5274774774774775,17952,32913,0.0,1152,1211,0.0,1505,0,0.7444851282489658,209164,159276,0.0,0,317,nan,0,0,0.7035161298831474,33817,30765
52,0.3397881320699251,0.9452190979786467,737562,895730,0.058196502271445114,13463,22787,0.7816278497058954,408854,542111,0.0,0,11671,0.0,0,880,0.24150985621305085,47519,21255,0.0,135,753,0.27645438340625506,10916,6084,0.7852963275631486,316762,330621,0.6524585090852826,108462,139197,0.0,0,102306,0.0,16222,2715,0.606692045682228,14300,9788,0.47821511260787203,6211,9219,nan,0,0,nan,0,0,nan,0,0,nan,0,32,0.27115229653505235,4599,2003
53,0.4715525294854724,0.9355898360294672,662421,852347,0.5975808870080971,26290,21733,0.8920037801093225,526231,581611,0.07301587301587302,2205,161,0.0,0,446,0.6689432302771855,74012,77073,0.2867647058823529,6021,2554,0.5948663921080356,8793,9233,0.7839153021634774,40732,41917,0.8942976585865596,237233,235910,0.9344541573057634,92251,96054,0.31319529029638654,41708,25436,0.0,2602,6004,0.8680280014890546,98321,119681,nan,0,0,0.0,3274,0,nan,0,0,0.0,0,6,0.17373788698145393,5625,26986
54,0.3675045604973704,0.7579343216030232,754728,851716,0.3337687334462961,179861,240241,0.8076976656251865,564384,662778,0.0,0,3762,0.0,28836,56573,0.3196349229263911,52826,32104,0.0500435634937922,18251,1032,0.15098861593768723,4440,4006,0.7940934674002403,54770,59588,0.0,1028,0,0.9504307947142663,79928,81944,0.5005924638597046,43358,33257,nan,0,0,0.8473838584539691,57427,60482,nan,0,0,nan,0,0,0.0,0,9669,nan,0,0,0.0,1769,0
55,0.487360896334091,0.9739904682322992,820665,996991,0.7646636815674245,34652,36681,0.7723016733071427,372596,418299,0.0,4318,0,0.27704153056462905,18736,9145,0.29188059008014866,34697,21286,0.0,1869,0,0.6063932216445215,23204,31458,0.7554195015403187,304683,290823,0.5638165817508105,31571,53867,0.9288937931034483,90349,88675,0.0,0,97,nan,0,0,0.8676654721298735,62655,69912,nan,0,0,0.0,15294,0,0.5083469310907494,40500,79918,nan,0,0,nan,0,0
